Name,Category,Latitude,Longitude,Victims
Saxton.,Area Unit,-41.317197853,173.214737122,25
Sawyers Bay.,Area Unit,-45.824720851,170.601280625,9
Sawyers Arms.,Area Unit,-43.458846687,172.596712967,168
Sanson.,Area Unit,-40.221022421,175.423705204,39
Sandymount.,Area Unit,-45.887980891,170.647468151,7
Sandringham West.,Area Unit,-36.889493298,174.731109302,227
Sandringham North.,Area Unit,-36.880420101,174.739723728,385
Sandringham East.,Area Unit,-36.894018102,174.738211193,108
Saddle Hill.,Area Unit,-45.924780536,170.401947693,12
Rutland.,Area Unit,-43.504987038,172.627841948,173
Russley.,Area Unit,-43.496219506,172.567270716,145
Russell.,Area Unit,-35.254946307,174.123849949,29
Runciman.,Area Unit,-37.132134418,174.951333265,18
Runanga-Rapahoe.,Area Unit,-42.393690039,171.252260371,20
Ruawai.,Area Unit,-36.134046878,174.018700575,19
Ruatoria.,Area Unit,-37.888150597,178.322162993,35
Ruakituri-Morere.,Area Unit,-38.815097204,177.363552631,25
Royal Road West.,Area Unit,-36.835185407,174.613001659,81
Royal Oak.,Area Unit,-36.904684713,174.766929664,397
Royal Heights.,Area Unit,-36.832672866,174.632138001,237
Roxburgh.,Area Unit,-45.543198217,169.316318801,17
Rowandale.,Area Unit,-37.028825063,174.872498800,193
Rototuna.,Area Unit,-37.736497307,175.268587029,69
Rotoorangi.,Area Unit,-38.046647534,175.432565319,37
Rotongata.,Area Unit,-38.091865955,175.498766256,32
Rotoma.,Area Unit,-38.056866407,176.748136098,70
Rotokauri.,Area Unit,-37.768124798,175.229393635,82
Rothesay Bay.,Area Unit,-36.722983877,174.748386670,62
Ross.,Area Unit,-42.893129191,170.811222571,5
Roslyn.,Area Unit,-40.338624241,175.631859060,554
Roslyn South.,Area Unit,-45.870832676,170.487916597,27
Roslyn North.,Area Unit,-45.864542578,170.493791382,19
Roseneath.,Area Unit,-41.292287537,174.801926957,112
Rosehill.,Area Unit,-37.079768515,174.938876309,174
Rosedale.,Area Unit,-46.386723751,168.370578087,44
Rosebank.,Area Unit,-36.875196323,174.673075905,202
Rongotea.,Area Unit,-40.292703188,175.426189525,16
Rongomai.,Area Unit,-36.966606231,174.892325400,393
Rolleston South West.,Area Unit,-43.610142019,172.373421879,21
Rolleston South East.,Area Unit,-43.602733549,172.390077313,92
Rolleston North West.,Area Unit,-43.599563297,172.367151834,27
Rolleston North East.,Area Unit,-43.591312255,172.388635664,169
Rolleston Central.,Area Unit,-43.598550370,172.377273369,41
Roberton.,Area Unit,-36.891398655,174.700919439,288
Riwaka.,Area Unit,-41.076318248,173.001415561,23
Riverton West.,Area Unit,-46.367901972,168.018848153,16
Riverton East.,Area Unit,-46.349598085,168.018150276,21
Riverstone Terraces.,Area Unit,-41.116487329,175.040384897,11
Riverside.,Area Unit,-35.722079718,174.330733973,67
Riversdale Community.,Area Unit,-45.900253900,168.740404374,3
Riverlea.,Area Unit,-37.807112729,175.327386872,106
Riverlands.,Area Unit,-41.528485453,173.991009965,12
Riverhead.,Area Unit,-36.732684066,174.512249217,55
Riverhead Urban.,Area Unit,-36.754782272,174.599871084,80
Riverdale.,Area Unit,-38.643953696,177.999152199,126
Richmond.,Area Unit,-46.410061679,168.369964382,54
Richmond West.,Area Unit,-41.347718614,173.187349922,173
Richmond South.,Area Unit,-43.522286591,172.656460460,214
Richmond North.,Area Unit,-43.513086192,172.662323848,139
Richmond Hill.,Area Unit,-41.395178775,173.214952276,3
Richmond Heights.,Area Unit,-38.717078916,176.083931914,69
Richmond East.,Area Unit,-41.341158995,173.195246052,319
Riccarton.,Area Unit,-43.532806557,172.603458362,669
Riccarton West.,Area Unit,-43.534035735,172.590664231,146
Riccarton South.,Area Unit,-43.540727372,172.608670438,153
Rewiti.,Area Unit,-36.779413680,174.454047781,52
Rewarewa.,Area Unit,-36.920814271,174.684337388,99
Resolution.,Area Unit,-41.122864769,174.913429329,6
Reporoa.,Area Unit,-38.433248412,176.290875426,25
Renwick.,Area Unit,-41.510270979,173.829104645,36
Remuera West.,Area Unit,-36.867222969,174.784060020,68
Remuera South.,Area Unit,-36.884260255,174.797423119,256
Rehia-Oneriri.,Area Unit,-36.175953765,174.291500353,154
Regent.,Area Unit,-35.717011849,174.321268564,248
Reefton.,Area Unit,-42.117584091,171.859622730,59
Redwoodtown.,Area Unit,-41.528512149,173.956631375,159
Redwood South.,Area Unit,-43.485578432,172.624603249,117
Redwood North.,Area Unit,-43.467127107,172.624951334,136
Redruth.,Area Unit,-44.420760782,171.253224356,36
Redoubt.,Area Unit,-37.271990841,174.931810135,27
Redoubt South.,Area Unit,-36.997723936,174.905209311,230
Redoubt North.,Area Unit,-36.985742146,174.897029032,129
Redoubt East.,Area Unit,-36.988988464,174.942483573,25
Red Hill.,Area Unit,-37.070242583,174.977696629,109
Red Beach West.,Area Unit,-36.603589580,174.690215892,37
Red Beach East.,Area Unit,-36.603972834,174.706706334,99
Rawhiti.,Area Unit,-43.501411164,172.715521962,394
Rawene.,Area Unit,-35.404636704,173.508905717,16
Ravenswood.,Area Unit,-43.312205801,172.664004787,22
Ravensbourne.,Area Unit,-45.860129007,170.552701910,15
Raurimu.,Area Unit,-39.150296530,175.249656881,40
Raureka.,Area Unit,-39.643122244,176.826978975,130
Raupunga.,Area Unit,-39.069674462,177.093658705,17
Raumati South.,Area Unit,-40.944388918,174.976852167,85
Raumati Beach.,Area Unit,-40.915789605,174.981825746,104
Raumanga West.,Area Unit,-35.745656326,174.300510283,203
Raumanga East.,Area Unit,-35.741010658,174.309047302,137
Ratana Community.,Area Unit,-40.039186094,175.175730717,6
Raroa.,Area Unit,-41.227635217,174.797639796,88
Rapaura.,Area Unit,-41.473009395,173.850907975,36
Rapaki Track.,Area Unit,-43.578615339,172.672401683,63
Ranzau.,Area Unit,-41.323112865,173.141229624,15
Ranui South.,Area Unit,-36.870604413,174.596366339,86
Ranui Heights.,Area Unit,-41.148408660,174.851822922,22
Ranui Domain.,Area Unit,-36.864577984,174.607337700,122
Rangoon Heights.,Area Unit,-41.246095928,174.801089321,51
Rangiuru.,Area Unit,-37.836187879,176.347270549,87
Rangitaiki.,Area Unit,-38.839238819,176.489843390,15
Rangipo.,Area Unit,-39.127542502,175.930233021,30
Rangiora West.,Area Unit,-43.310078830,172.582116606,38
Rangiora North.,Area Unit,-43.299287149,172.589439197,147
Rangiora East.,Area Unit,-43.309361936,172.601843248,177
Rangiora Central.,Area Unit,-43.310521266,172.592070042,47
Rangatira.,Area Unit,-38.656632022,176.068619452,9
Rangatira Park.,Area Unit,-38.671107032,176.080696080,21
Ranfurly.,Area Unit,-45.128406269,170.102723358,7
Randwick Park.,Area Unit,-37.022353638,174.915772977,152
Rakiraki.,Area Unit,-40.236076456,175.555049841,52
Rakaia.,Area Unit,-43.747022376,172.025914864,55
Rahotu.,Area Unit,-39.342873097,173.784932674,2
Raglan.,Area Unit,-37.805873555,174.865732255,201
Raetihi.,Area Unit,-39.432455968,175.277766705,40
Rabbit Island.,Area Unit,-41.272718999,173.133275103,6
Queenwood.,Area Unit,-37.749975236,175.268442517,78
Queenstown Hill.,Area Unit,-45.028166050,168.687823501,203
Queenstown Bay.,Area Unit,-45.031438698,168.652881612,190
Pyes Pa.,Area Unit,-37.755024149,176.114181143,126
Putiki.,Area Unit,-39.948962089,175.050812585,3
Putaruru.,Area Unit,-38.046489795,175.779933673,217
Punaruku-Kiripaka.,Area Unit,-35.480325176,174.429782803,138
Pukeuri.,Area Unit,-45.052172966,171.034078110,10
Puketitiri.,Area Unit,-39.244818666,176.398625353,7
Pukete.,Area Unit,-37.739659087,175.244129084,54
Pukete West.,Area Unit,-37.739654211,175.235833244,42
Pukerua Bay.,Area Unit,-41.038193795,174.874142377,29
Pukerimu.,Area Unit,-37.896684508,175.415305505,14
Pukeoware.,Area Unit,-37.267437695,174.752529196,4
Pukekohe West.,Area Unit,-37.211899102,174.892462781,175
Pukekohe North.,Area Unit,-37.191250469,174.907654319,892
Pukehangi South.,Area Unit,-38.138234502,176.205703992,85
Pukehangi North.,Area Unit,-38.134842575,176.203926081,82
Puhinui South.,Area Unit,-36.990776919,174.865870673,474
Puhinui North.,Area Unit,-36.983193096,174.864494239,259
Prestons.,Area Unit,-43.472816787,172.673624949,143
Prebbleton.,Area Unit,-43.581464324,172.511742302,37
Poukawa.,Area Unit,-39.753526054,176.775768440,34
Port-Limeburners.,Area Unit,-35.752723476,174.326979028,86
Port Nelson.,Area Unit,-41.261183668,173.275878542,36
Port Levy.,Area Unit,-43.630425561,172.826921816,7
Port Chalmers.,Area Unit,-45.823026076,170.626584434,25
Porritt.,Area Unit,-37.757866429,175.287638772,108
Poroporo.,Area Unit,-37.990096745,176.980353493,13
Porirua East.,Area Unit,-41.138765094,174.852274988,140
Porirua Central.,Area Unit,-41.146113589,174.828924017,658
Porangahau.,Area Unit,-40.302889758,176.640612662,6
Poraiti.,Area Unit,-39.502475483,176.844371233,51
Ponsonby West.,Area Unit,-36.850689435,174.731164584,77
Ponsonby East.,Area Unit,-36.851848764,174.742062683,147
Pongakawa.,Area Unit,-37.846068723,176.455114643,175
Pomare.,Area Unit,-38.155616094,176.224230773,61
Pokuru.,Area Unit,-38.032916541,175.243652211,13
Pokere-Waihaha.,Area Unit,-35.286628226,174.196320018,71
Pokeno.,Area Unit,-37.255844461,175.013742078,119
Point Wells.,Area Unit,-36.323193790,174.758958443,3
Point View.,Area Unit,-36.937386752,174.930597901,70
Point England.,Area Unit,-36.882537382,174.870564004,259
Point Elizabeth.,Area Unit,-42.399320049,171.233773086,4
Point Chevalier West.,Area Unit,-36.865881338,174.700384298,101
Point Chevalier South.,Area Unit,-36.875800215,174.710854224,66
Point Chevalier East.,Area Unit,-36.859322511,174.709805518,410
Poike.,Area Unit,-37.730150159,176.153143293,39
Pohonui-Porewa.,Area Unit,-39.816064508,175.639304405,48
Pohangina.,Area Unit,-40.036466201,175.905217810,28
Poets Corner.,Area Unit,-38.138216034,176.286306372,9
Poets Block.,Area Unit,-41.122631270,175.045003869,47
Plimmerton.,Area Unit,-41.072898772,174.856838313,52
Pleasant Point.,Area Unit,-44.253024439,171.131816516,21
Playford Park.,Area Unit,-40.630377449,175.293338814,160
Plains Railway.,Area Unit,-43.914148001,171.719818176,10
Pirongia.,Area Unit,-37.996936368,175.239572647,14
Pirimai.,Area Unit,-39.516483433,176.880585880,118
Piopio.,Area Unit,-38.467036702,175.017866015,9
Pines-Kairaki Beach.,Area Unit,-43.381574553,172.703654209,11
Pinehill.,Area Unit,-36.731083276,174.725081533,86
Pinehaven.,Area Unit,-41.168319066,175.026279001,36
Pine Hill.,Area Unit,-45.841616001,170.525666756,51
Pigeon Mountain South.,Area Unit,-36.899824745,174.895822588,137
Pigeon Mountain North.,Area Unit,-36.891196667,174.904303899,59
Picton.,Area Unit,-41.288499496,174.006593960,177
Phillipstown.,Area Unit,-43.536675783,172.661317808,361
Petone Central.,Area Unit,-41.224079700,174.870274369,514
Penrose.,Area Unit,-36.922648195,174.818414169,243
Pencarrow.,Area Unit,-41.337986915,174.965422523,12
Pembroke.,Area Unit,-39.321895395,174.229433103,33
Peka Peka.,Area Unit,-40.839528996,175.060791558,13
Pegasus.,Area Unit,-43.314831587,172.691228399,34
Peacocke.,Area Unit,-37.818759477,175.314367043,33
Peachgrove.,Area Unit,-37.784392773,175.293008282,259
Pauatahanui.,Area Unit,-41.106879968,174.930139435,28
Pauanui Beach.,Area Unit,-37.024399181,175.853941998,34
Patutahi.,Area Unit,-38.622728050,177.894208471,8
Patumahoe.,Area Unit,-37.202243955,174.827733664,41
Patea.,Area Unit,-39.759620259,174.472436266,51
Pataua-Whareora.,Area Unit,-35.718365609,174.496389972,22
Parua Bay.,Area Unit,-35.773562028,174.450480379,35
Parrs Park.,Area Unit,-36.903337536,174.633145199,81
Parrs Park West.,Area Unit,-36.899180504,174.627383111,86
Parnell West.,Area Unit,-36.853175158,174.782605936,447
Parnell East.,Area Unit,-36.859986196,174.790372365,68
Parnassus.,Area Unit,-42.720085080,173.282429750,25
Parkway.,Area Unit,-41.249224368,174.935611646,202
Parkvale.,Area Unit,-39.646962763,176.858992950,155
Parkside.,Area Unit,-44.404055125,171.250692311,204
Parklands.,Area Unit,-43.479541276,172.701040491,150
Parkdale.,Area Unit,-38.210049054,175.863882756,29
Pareora.,Area Unit,-44.490749883,171.214997446,7
Paremoremo West.,Area Unit,-36.759676311,174.616804694,16
Paremoremo East.,Area Unit,-36.756495210,174.656449361,129
Paremata-Postgate.,Area Unit,-41.105114978,174.876876471,88
Parawai.,Area Unit,-37.153125711,175.560607198,229
Paraparaumu Central.,Area Unit,-40.904801056,175.007872047,791
Paraparaumu Beach South.,Area Unit,-40.893538293,174.984699903,135
Paraparaumu Beach North.,Area Unit,-40.881286129,174.998355623,69
Paraonui.,Area Unit,-38.209241528,175.856785985,37
Parakai Urban.,Area Unit,-36.658233366,174.440341289,46
Parakai Rural.,Area Unit,-36.674279971,174.434178515,14
Paraite.,Area Unit,-39.035962665,174.165651758,120
Parahaki.,Area Unit,-35.729357632,174.344349954,67
Papatoetoe West.,Area Unit,-36.986911533,174.847000499,279
Papatoetoe North.,Area Unit,-36.967933112,174.846655035,295
Papatoetoe East.,Area Unit,-36.973749446,174.873428896,263
Papatoetoe Central.,Area Unit,-36.978526340,174.860632022,620
Papatawa.,Area Unit,-40.294654258,175.956737544,47
Paparua.,Area Unit,-43.531224417,172.476238332,196
Paparata.,Area Unit,-37.174490628,175.100347483,3
Paparangi.,Area Unit,-41.218596823,174.819308183,33
Paparangi West.,Area Unit,-41.216371783,174.816151279,18
Papanui.,Area Unit,-43.498350682,172.610704339,296
Papamoa Beach East.,Area Unit,-37.703194179,176.302604822,130
Papakura South.,Area Unit,-37.074640306,174.964991850,127
Papakura North.,Area Unit,-37.059818613,174.933752062,369
Papakura North East.,Area Unit,-37.055783115,174.949974508,273
Papakura East.,Area Unit,-37.059368497,174.966935057,248
Papakura Central.,Area Unit,-37.067157234,174.943646986,620
Papakowhai South.,Area Unit,-41.130724268,174.855984648,48
Papakowhai North.,Area Unit,-41.116138513,174.863871757,53
Papaeoia.,Area Unit,-40.348894921,175.623206114,332
Panmure Basin.,Area Unit,-36.905352055,174.853163700,144
Palmerston.,Area Unit,-45.485052185,170.705242876,30
Palmerston North Hospital.,Area Unit,-40.341724156,175.613380064,251
Palmerston North Central.,Area Unit,-40.354276377,175.609225958,1731
Palm Springs.,Area Unit,-37.731359894,176.366146208,231
Palm Heights.,Area Unit,-36.894194735,174.608492336,46
Palm Beach.,Area Unit,-37.693236538,176.272161590,389
Pakuranga North.,Area Unit,-36.895335048,174.886758412,42
Pakuranga East.,Area Unit,-36.916595984,174.890513784,107
Pakuranga Central.,Area Unit,-36.919016551,174.881235064,176
Pakowhai.,Area Unit,-39.579342483,176.873973356,52
Pakipaki.,Area Unit,-39.686709278,176.811841439,24
Paihia.,Area Unit,-35.288822547,174.089939272,180
Pahurehure.,Area Unit,-37.064376269,174.930581810,133
Pahiatua.,Area Unit,-40.452432838,175.836048121,122
Paeroa.,Area Unit,-37.373346810,175.661526583,255
Paerata-Cape Hill.,Area Unit,-37.177560191,174.907325920,29
Paengaroa.,Area Unit,-37.822984347,176.405406037,68
Paekakariki.,Area Unit,-40.973324005,174.961972266,34
Paekakariki Hill.,Area Unit,-41.027889531,174.911924596,3
Pacific View.,Area Unit,-37.687862457,176.255919823,74
Oxford.,Area Unit,-43.305684946,172.180391479,47
Owhata West.,Area Unit,-38.117907015,176.299550985,216
Owhata South.,Area Unit,-38.142652705,176.292001721,18
Owhata East.,Area Unit,-38.138690469,176.317218432,83
Owhango.,Area Unit,-38.999283336,175.376465194,2
Owaka.,Area Unit,-46.451848921,169.658811340,14
Owairaka West.,Area Unit,-36.897184880,174.709692334,117
Owairaka East.,Area Unit,-36.892102688,174.719308168,130
Owahanga.,Area Unit,-40.603362165,176.346804708,17
Outram.,Area Unit,-45.859585577,170.232153800,3
Outer Wakatipu.,Area Unit,-44.922635861,168.791454672,32
Outer Kaiti.,Area Unit,-38.668530920,178.058762433,106
Otumoetai South.,Area Unit,-37.677502485,176.145824786,47
Otumoetai North.,Area Unit,-37.669457637,176.152341313,106
Otorohanga.,Area Unit,-38.185872210,175.215717314,118
Otorohanga Rural West.,Area Unit,-38.082078608,174.909471786,38
Otorohanga Rural East.,Area Unit,-38.257654459,175.539735916,98
Otira.,Area Unit,-42.829466515,171.622722123,6
Otipua Creek-Washdyke Flat.,Area Unit,-44.377017716,171.206803758,21
Otimai.,Area Unit,-36.930960491,174.602435798,40
Otematata.,Area Unit,-44.612398841,170.224472397,5
Otautau.,Area Unit,-46.145441023,168.001407379,19
Otaua.,Area Unit,-37.306696976,174.782640617,38
Otatara.,Area Unit,-46.437237932,168.294608027,17
Otara West.,Area Unit,-36.950391770,174.866108195,92
Otara South.,Area Unit,-36.969811651,174.877796937,119
Otara North.,Area Unit,-36.953000063,174.878246078,216
Otara East.,Area Unit,-36.954416663,174.882440716,76
Otangiwai-Heao.,Area Unit,-38.864755282,174.963232346,23
Otangarei.,Area Unit,-35.694510703,174.319572692,155
Otane.,Area Unit,-39.896874301,176.626471293,14
Otamatea.,Area Unit,-39.908252503,175.023940167,26
Otakiri.,Area Unit,-37.922061701,176.780060598,168
Otaki.,Area Unit,-40.745544012,175.136492890,425
Otaki Forks.,Area Unit,-40.819125870,175.263642340,47
Otakaro Park.,Area Unit,-46.411477486,168.352967994,280
Otaika-Portland.,Area Unit,-35.783431597,174.316935387,15
Otaihanga.,Area Unit,-40.881027884,175.030515268,26
Otahuhu West.,Area Unit,-36.952379958,174.843770882,770
Otahuhu North.,Area Unit,-36.936477317,174.847762435,178
Otahuhu East.,Area Unit,-36.936354503,174.857948029,65
Otago University.,Area Unit,-45.865406483,170.518685241,181
Oruanui.,Area Unit,-38.620292184,176.091144491,40
Orowaiti.,Area Unit,-41.746436348,171.627586601,8
Oroua Downs-Waitohi.,Area Unit,-40.326275654,175.401047294,98
Oroua Bridge.,Area Unit,-40.211243546,175.606190161,7
Ormiston.,Area Unit,-36.971942462,174.935825519,322
Orini.,Area Unit,-37.944101578,176.960495930,49
Oriental Bay.,Area Unit,-41.291254923,174.794291266,37
Orewa.,Area Unit,-36.590728099,174.688474307,332
Orewa West.,Area Unit,-36.583126723,174.676837250,28
Oreti Beach.,Area Unit,-46.429997014,168.276279516,15
Oratia.,Area Unit,-36.914578601,174.628392869,87
Oratia West.,Area Unit,-36.907732639,174.621718481,8
Orari.,Area Unit,-44.082933415,171.184081607,98
Oranga.,Area Unit,-36.910959574,174.798127884,148
Orana Park.,Area Unit,-45.085979784,170.979455291,69
Orakei South.,Area Unit,-36.867271912,174.810366334,104
Orakei North.,Area Unit,-36.855846839,174.815125064,230
Opunake.,Area Unit,-39.452571715,173.855799210,59
Opuawhanga.,Area Unit,-37.284699703,174.965914876,6
Opua West.,Area Unit,-35.308795245,174.106096562,10
Opua East.,Area Unit,-35.313229173,174.114899993,23
Opouteke-Tanekaha.,Area Unit,-35.674688735,174.068911774,102
Opotiki.,Area Unit,-38.009972715,177.283408777,346
Oponae.,Area Unit,-38.225478236,177.375979721,19
Opoho.,Area Unit,-45.854925159,170.537445034,21
Opiki.,Area Unit,-40.484628383,175.471967101,19
Opawa.,Area Unit,-43.558233546,172.661256858,227
Opanuku.,Area Unit,-36.906308603,174.582961062,44
Opaki-Fernridge.,Area Unit,-40.919146181,175.661315025,19
Opaheke.,Area Unit,-37.077664095,174.948334770,78
Onewhero.,Area Unit,-37.410430908,174.870557665,117
Onerahi.,Area Unit,-35.765488838,174.364072147,65
Onepoto.,Area Unit,-41.104659926,174.854837813,42
Onekawa West.,Area Unit,-39.496681822,176.884179308,276
Onekawa South.,Area Unit,-39.514051590,176.895338212,275
Onekawa Central.,Area Unit,-39.505549556,176.889254673,123
Onehunga South West.,Area Unit,-36.925166465,174.769797909,176
Onehunga South East.,Area Unit,-36.926013548,174.785468269,453
Onehunga North West.,Area Unit,-36.912390923,174.778065590,183
Onehunga North East.,Area Unit,-36.909177519,174.790458000,94
One Tree Hill East.,Area Unit,-36.899580092,174.796164075,211
One Tree Hill Central.,Area Unit,-36.898408085,174.780662181,349
Omori.,Area Unit,-38.902476185,175.760405301,10
Omokoroa.,Area Unit,-37.645651186,176.032098410,76
Omata.,Area Unit,-39.100418849,173.994694879,10
Omarama.,Area Unit,-44.476349232,169.943725291,7
Omapere and Opononi.,Area Unit,-35.520655957,173.389793131,35
Omanu.,Area Unit,-37.667043774,176.197344581,615
Omaka.,Area Unit,-41.538459002,173.925520923,165
Omahu.,Area Unit,-39.580764141,176.771937551,32
Omaha.,Area Unit,-36.342675048,174.781901720,19
Okuku.,Area Unit,-43.111749499,172.270091741,10
Okoki-Okau.,Area Unit,-38.915772423,174.569018633,47
Okauia.,Area Unit,-37.806788719,175.776002522,58
Okato.,Area Unit,-39.192743738,173.874425157,20
Okaihau.,Area Unit,-35.331879134,173.759688413,28
Okaiawa.,Area Unit,-39.535150094,174.224928595,7
Ohura.,Area Unit,-38.841413392,174.978231830,3
Ohope.,Area Unit,-37.976499537,177.084959802,58
Ohoka.,Area Unit,-43.394146765,172.592952293,19
Ohinemutu.,Area Unit,-38.127973147,176.247479349,24
Ohinemuri.,Area Unit,-37.339670973,175.781558660,113
Ohawe Beach.,Area Unit,-39.612054579,174.273685284,21
Ohaupo.,Area Unit,-37.918958981,175.307150505,12
Ohauiti-Ngapeke.,Area Unit,-37.756035187,176.188490256,14
Ohangai.,Area Unit,-39.581973084,174.425040468,12
Ohakune.,Area Unit,-39.406191954,175.406911291,96
Ohakea.,Area Unit,-40.198249682,175.383794368,6
Ohai.,Area Unit,-45.932154264,167.959728505,4
Ohaeawai.,Area Unit,-35.349305280,173.864987602,35
Oceanic-Tasman Region.,Area Unit,,,2
Oceanic-Auckland Region West.,Area Unit,,,3
Oceanic-Auckland Region East.,Area Unit,,,5
Ocean View.,Area Unit,-36.797484678,174.740225895,126
Oamaru South.,Area Unit,-45.108635865,170.970685626,57
Oamaru North.,Area Unit,-45.074302439,170.983229496,105
Oamaru Central.,Area Unit,-45.097447826,170.963356818,263
Oakura.,Area Unit,-39.118447791,173.954885951,19
Oaktree.,Area Unit,-36.719480534,174.731005626,39
Oaklands West.,Area Unit,-43.570931681,172.552411843,35
Oaklands East.,Area Unit,-43.575075730,172.559629722,118
Nukuhau.,Area Unit,-38.682218761,176.064486434,26
Nuhaka.,Area Unit,-39.041739504,177.749761906,21
Northland.,Area Unit,-41.280936823,174.759292997,78
Northland North.,Area Unit,-41.275272925,174.760556247,13
Northcross.,Area Unit,-36.717618390,174.721392109,71
Northcote.,Area Unit,-43.486260036,172.612192798,518
Northcote South.,Area Unit,-36.816566774,174.744708095,98
North Harbour West.,Area Unit,-36.741301295,174.685637086,73
North Harbour East.,Area Unit,-36.741313120,174.704127419,282
North Gore.,Area Unit,-46.092695462,168.946309786,23
North East Valley.,Area Unit,-45.848709664,170.530782897,117
North Dunedin.,Area Unit,-45.859149541,170.514431908,123
North Cape.,Area Unit,-34.517712350,172.892212039,18
North Beach.,Area Unit,-43.489394023,172.715531714,188
Norsewood-Herbertville.,Area Unit,-40.264458117,176.273354198,81
Normandale.,Area Unit,-41.199228018,174.893651001,31
Normanby.,Area Unit,-39.538853476,174.272659984,10
Nireaha-Tiraumea.,Area Unit,-40.675681139,175.906886377,17
Nightcaps.,Area Unit,-45.967691269,168.024093630,3
Ngunguru.,Area Unit,-35.623504957,174.522213441,41
Ngongotaha South.,Area Unit,-38.088297090,176.211253182,49
Ngongotaha North.,Area Unit,-38.074402812,176.210360082,184
Ngawhatu.,Area Unit,-41.336974353,173.223393116,39
Ngauranga West.,Area Unit,-41.242994732,174.806112818,11
Ngauranga East.,Area Unit,-41.240477072,174.813095003,17
Ngaumutawa.,Area Unit,-40.941360070,175.634967692,14
Ngatea.,Area Unit,-37.274368743,175.491442934,48
Ngaruawahia.,Area Unit,-37.676093382,175.156958673,340
Ngapuna.,Area Unit,-38.153772296,176.267161620,322
Ngapuke.,Area Unit,-38.814053984,175.467120481,45
Ngapuhi-Kaikou.,Area Unit,-35.481605308,173.870787480,128
Ngakuru.,Area Unit,-38.340466398,176.131128162,40
Ngaio South.,Area Unit,-41.255991339,174.774614115,63
Ngahinapouri.,Area Unit,-37.891955461,175.196454013,40
Newtown West.,Area Unit,-41.312685666,174.776299077,247
Newtown East.,Area Unit,-41.319476346,174.783634833,211
Newton.,Area Unit,-36.860867288,174.757906934,394
Newstead.,Area Unit,-37.786173914,175.330296685,47
Newmarket.,Area Unit,-36.865943385,174.778361624,580
Newlands South.,Area Unit,-41.230520528,174.825310415,91
Newlands North.,Area Unit,-41.224429248,174.819446539,141
Newlands East.,Area Unit,-41.226566093,174.833376534,7
Newfield-Rockdale.,Area Unit,-46.420064301,168.389832611,71
New Windsor.,Area Unit,-36.902008278,174.712292643,138
New Plymouth Central.,Area Unit,-39.056057628,174.075251486,686
New Lynn South.,Area Unit,-36.907822906,174.670669356,123
New Lynn North.,Area Unit,-36.902733765,174.677228305,172
New Brighton.,Area Unit,-43.516018008,172.728301282,185
Netherby.,Area Unit,-43.899663727,171.765023919,54
Nenthorn.,Area Unit,-45.470555660,170.538856453,4
Nelson Park.,Area Unit,-39.495205248,176.914209605,1372
Nelson Creek-Ngahere.,Area Unit,-42.467606268,171.580283508,10
Nelson Airport.,Area Unit,-41.297188525,173.222576935,119
Naylor.,Area Unit,-37.802936864,175.298464402,393
Nayland.,Area Unit,-41.304339420,173.233288832,33
Nawton.,Area Unit,-37.784822714,175.243529519,330
National Park.,Area Unit,-39.174635683,175.395673762,19
Narrow Neck.,Area Unit,-36.816147560,174.795230078,59
Naenae South.,Area Unit,-41.205549810,174.947200247,177
Naenae North.,Area Unit,-41.201742814,174.960642765,215
Myross Bush.,Area Unit,-46.378313142,168.423107153,4
Musselburgh.,Area Unit,-45.902526846,170.527150279,26
Murvale.,Area Unit,-36.890471240,174.912604615,43
Murupara.,Area Unit,-38.451631473,176.709996103,107
Murrays Bay.,Area Unit,-36.731993746,174.749729154,43
Muriwai Valley.,Area Unit,-36.831609350,174.453929781,12
Muriwai Beach.,Area Unit,-36.823842312,174.425390687,29
Murchison.,Area Unit,-41.800843770,172.321294779,25
Mt Wellington West.,Area Unit,-36.894190164,174.830043607,218
Mt Wellington South.,Area Unit,-36.921647579,174.850877527,1058
Mt Wellington North.,Area Unit,-36.900837124,174.839714174,247
Mt Wellington Domain.,Area Unit,-36.888729290,174.847666012,361
Mt Victoria.,Area Unit,-36.827772793,174.801806398,74
Mt Victoria West.,Area Unit,-41.295981167,174.789097474,229
Mt St John.,Area Unit,-36.885751944,174.782557237,208
Mt Somers.,Area Unit,-43.453575368,171.113852851,69
Mt Pleasant.,Area Unit,-43.573273805,172.722258884,90
Mt Maunganui North.,Area Unit,-37.634426943,176.182260559,381
Mt Holdsworth.,Area Unit,-40.888015920,175.407680663,14
Mt Hobson.,Area Unit,-36.877566606,174.784396098,162
Mt Eden South.,Area Unit,-36.896223028,174.751014772,136
Mt Eden North.,Area Unit,-36.870184102,174.759561909,301
Mt Eden East.,Area Unit,-36.884787838,174.761227915,135
Mt Cook.,Area Unit,-43.736221492,170.084282090,2
Mt Cook-Wallace Street.,Area Unit,-41.303277366,174.774196729,272
Mt Albert Central.,Area Unit,-36.881680852,174.721897140,316
Moutoa.,Area Unit,-40.492186241,175.329209581,59
Moutere Inlet.,Area Unit,,,1
Mount Bryan.,Area Unit,-39.054173909,174.088946641,39
Motutangi-Kareponia.,Area Unit,-34.978768865,173.227192433,110
Moturoa.,Area Unit,-39.060963797,174.022364949,190
Motuoapa.,Area Unit,-38.924946491,175.873739281,11
