Name,Category,Latitude,Longitude,Victims
Wakeling.,Area Unit,-36.864167059,174.651281169,124
Wakefield.,Area Unit,-41.404208087,173.041756948,33
Wakatipu Basin.,Area Unit,-44.982910145,168.800498551,13
Wakari.,Area Unit,-45.860783976,170.484446471,50
Waiwhetu South.,Area Unit,-41.229178958,174.916400396,107
Waiwhetu North.,Area Unit,-41.223051352,174.922076972,92
Waiwhero.,Area Unit,-38.149645191,176.180935750,57
Waiwera.,Area Unit,-36.554428183,174.706268043,12
Waiuku West.,Area Unit,-37.241591492,174.725412064,113
Waiuku East.,Area Unit,-37.243890159,174.733995162,189
Waituna.,Area Unit,-46.501913901,168.677591768,36
Waitotara.,Area Unit,-39.806642373,174.733439785,2
Waitoa.,Area Unit,-37.610804256,175.637609020,7
Waitati.,Area Unit,-45.746104830,170.581542280,8
Waitarere.,Area Unit,-40.550422479,175.201366155,31
Waitaramoa.,Area Unit,-36.869700159,174.794731446,90
Waitara West.,Area Unit,-38.997267964,174.229175894,269
Waitara East.,Area Unit,-38.994138792,174.239461264,67
Waitangirua.,Area Unit,-41.130500460,174.878707469,140
Waitangi.,Area Unit,-35.226461885,174.042642883,67
Waitakere.,Area Unit,-36.862751801,174.541705365,28
Waitakere West.,Area Unit,-36.863888518,174.466221624,5
Waitahanui.,Area Unit,-38.789980999,176.069737214,52
Waitaha.,Area Unit,-43.137900574,170.725602850,1
Wairoa.,Area Unit,-39.039454916,177.418719977,310
Wairio.,Area Unit,-45.778288367,167.842418637,12
Wairau South.,Area Unit,-41.691204089,173.568555569,35
Wairau North.,Area Unit,-41.503037132,173.495943669,7
Wairarapa.,Area Unit,-43.507662132,172.573938216,80
Wairakei-Aratiatia.,Area Unit,-38.626351465,176.138592096,104
Waipukurau.,Area Unit,-40.006444315,176.554964233,181
Waipu.,Area Unit,-36.030066525,174.486940105,45
Waipawa.,Area Unit,-39.943481528,176.601238064,63
Waipareira West.,Area Unit,-36.818770908,174.547797376,13
Waipahihi.,Area Unit,-38.709771685,176.094055279,55
Waipa Valley.,Area Unit,-38.416673432,175.252535426,29
Waiouru.,Area Unit,-39.472727994,175.671243959,28
Waiotira-Springfield.,Area Unit,-35.896295958,174.238721270,74
Waiotahi.,Area Unit,-38.026849397,177.220974548,123
Waiopehu.,Area Unit,-40.648364153,175.305798696,66
Waiohiki.,Area Unit,-39.558747913,176.837042060,17
Wainui.,Area Unit,-38.673352002,178.072307163,74
Wainoni.,Area Unit,-43.518840236,172.686846705,246
Waingongoro.,Area Unit,-39.542013122,174.237601314,13
Waingawa.,Area Unit,-40.982533546,175.622866867,8
Waimumu South.,Area Unit,-36.851468193,174.618004250,73
Waimumu North.,Area Unit,-36.841415226,174.612443906,175
Waimea-Arahura.,Area Unit,-42.697161368,171.128628588,9
Waimea Inlet West.,Area Unit,,,1
Waimauku.,Area Unit,-36.759874398,174.487787005,32
Waimate.,Area Unit,-44.738044960,171.044990899,100
Waimataitai.,Area Unit,-44.378092325,171.245443360,107
Waimarama.,Area Unit,-39.742367150,176.982814348,38
Waimana.,Area Unit,-38.150926298,177.109490461,13
Waimairi Beach.,Area Unit,-43.480342647,172.712402542,125
Waima.,Area Unit,-36.949318014,174.639102084,36
Waikuku.,Area Unit,-43.284592780,172.710815404,20
Waikowhai West.,Area Unit,-36.932601082,174.732147951,54
Waikowhai East.,Area Unit,-36.930413709,174.743924278,131
Waikouaiti.,Area Unit,-45.604112964,170.677057840,18
Waikiwi.,Area Unit,-46.382555626,168.354147925,30
Waikawa.,Area Unit,-41.282636048,174.033060145,37
Waikato Western Hills.,Area Unit,-37.687021043,175.044283014,119
Waikareao Estuary.,Area Unit,,,1
Waikanae West.,Area Unit,-40.876739017,175.058389946,112
Waikanae Park.,Area Unit,-40.872765505,175.041981726,31
Waikanae East.,Area Unit,-40.891253339,175.074084565,42
Waikanae Beach.,Area Unit,-40.865582733,175.025539799,32
Waikaia.,Area Unit,-45.647039544,168.519082946,20
Waihou-Walton.,Area Unit,-37.731459121,175.707134047,134
Waihou Valley-Hupara.,Area Unit,-35.286025980,173.894910200,142
Waiho.,Area Unit,-43.392742417,170.202552896,4
Waihi.,Area Unit,-37.394022565,175.847405540,354
Waihi Beach.,Area Unit,-37.419160590,175.938544830,91
Waihemo.,Area Unit,-45.418793284,170.594948837,26
Waiheke Island.,Area Unit,-36.797584758,175.081405937,271
Waihao.,Area Unit,-44.631951593,170.929624420,100
Waiau.,Area Unit,-42.655574651,173.042528575,8
Waiata.,Area Unit,-36.876755179,174.809545947,63
Waianiwa.,Area Unit,-46.284604261,168.335311396,47
Waiake.,Area Unit,-36.705815305,174.744597166,49
Wai-Iti.,Area Unit,-41.391159307,173.095157355,84
Waharoa.,Area Unit,-37.758526091,175.753881947,63
Waerenga.,Area Unit,-37.392977822,175.196355457,124
Wadestown.,Area Unit,-41.261589412,174.774328259,87
Wade Heads.,Area Unit,-36.638797272,174.734739788,197
Vogeltown.,Area Unit,-41.313344961,174.768446952,29
Vogeltown West.,Area Unit,-41.312222080,174.765862734,19
Viscount.,Area Unit,-36.965581967,174.790876909,89
Vipond.,Area Unit,-36.617937082,174.717437613,24
Vinetown.,Area Unit,-35.724009089,174.314905813,148
Victoria.,Area Unit,-38.144272633,176.261368934,927
Vauxhall.,Area Unit,-45.888094928,170.530106535,34
Utuhina.,Area Unit,-38.142297366,176.229806172,42
Urlich.,Area Unit,-36.859883800,174.598198861,80
Urewera.,Area Unit,-38.154439272,177.093357063,55
Urenui.,Area Unit,-38.990807693,174.393823963,14
Upper Westown.,Area Unit,-39.085603129,174.049383402,19
Upper Riccarton.,Area Unit,-43.527150887,172.576324896,267
Upper Papamoa.,Area Unit,-37.804309762,176.269904429,140
Upper Hutt Central.,Area Unit,-41.123667236,175.070948018,332
Upper Aramoho.,Area Unit,-39.896809999,175.072946507,33
Unsworth Heights.,Area Unit,-36.758081128,174.717555003,76
University.,Area Unit,-37.788772455,175.313814105,445
Twyford.,Area Unit,-39.592119549,176.809983562,98
Twizel Community.,Area Unit,-44.267099373,170.081881819,21
Tuturumuri.,Area Unit,-41.418820478,175.466517320,19
Tutira.,Area Unit,-39.145953661,176.785644774,24
Turua.,Area Unit,-37.227871409,175.531268928,30
Turitea.,Area Unit,-40.381120697,175.695361255,48
Turangi.,Area Unit,-38.993000430,175.800825009,365
Turanga.,Area Unit,-36.927657186,174.968124191,50
Tuff Crater.,Area Unit,-36.803835360,174.752476779,169
Tuatapere.,Area Unit,-46.130421791,167.685400590,8
Tuapeka.,Area Unit,-45.811963046,169.520477265,21
Tuamarina.,Area Unit,-41.435886654,173.961331837,26
Tuakau.,Area Unit,-37.258865263,174.948406387,143
Tuai.,Area Unit,-38.832209885,177.151941265,5
Tuahiwi.,Area Unit,-43.343852735,172.635688099,37
Trident.,Area Unit,-37.970519064,176.976414662,213
Trents-Ladbrooks.,Area Unit,-43.593640544,172.538358547,39
Trentham South.,Area Unit,-41.146584000,175.036737346,49
Trentham North.,Area Unit,-41.133074317,175.043564292,81
Travis.,Area Unit,-43.498162408,172.691468968,76
Travis Wetland.,Area Unit,-43.481157913,172.686060633,118
Trafalgar.,Area Unit,-41.271319283,173.283275431,493
Totara River.,Area Unit,-42.955364601,170.909500871,3
Totara Park.,Area Unit,-41.110456025,175.086849745,36
Totara Heights.,Area Unit,-37.007179350,174.916810041,221
Torbay.,Area Unit,-36.696854135,174.753259194,65
Tongariro.,Area Unit,-38.902907285,176.047945647,40
Tolaga Bay.,Area Unit,-38.390923409,178.329060397,54
Tokoroa Central.,Area Unit,-38.217195926,175.874627566,446
Tokorangi-Hiwinui.,Area Unit,-40.151095185,175.578929797,39
Tokomaru.,Area Unit,-40.469118321,175.509803444,13
Tokomaru Bay.,Area Unit,-38.137616104,178.320527035,12
Toko.,Area Unit,-39.327897322,174.379152207,47
Tokanui.,Area Unit,-38.059021476,175.334591830,15
Tokaanu.,Area Unit,-38.961574074,175.768455452,16
Toi Toi.,Area Unit,-41.289254423,173.259566561,23
Toetoes.,Area Unit,-46.534338435,169.027717926,27
Tiwai Point.,Area Unit,-46.588393566,168.439210624,1
Titirangi South.,Area Unit,-36.950645688,174.656405904,78
Titahi Bay South.,Area Unit,-41.110714331,174.820310505,136
Titahi Bay North.,Area Unit,-41.096423390,174.842145103,103
Tisbury.,Area Unit,-46.442325366,168.393198696,7
Tirohanga.,Area Unit,-41.198246358,174.903999210,7
Tiroa.,Area Unit,-38.550166982,175.516290959,4
Tirau.,Area Unit,-37.977206679,175.756609154,88
Tinwald.,Area Unit,-43.917024961,171.726786099,71
Tiniroto.,Area Unit,-38.725526217,177.722885892,58
Timaru Gardens.,Area Unit,-44.412946264,171.250281387,53
Tikokino.,Area Unit,-39.906895086,176.427014632,29
Tikitere.,Area Unit,-38.089280640,176.442886676,118
Tikipunga West.,Area Unit,-35.677780971,174.323049096,295
Tikipunga East.,Area Unit,-35.694103130,174.333156065,102
Tidal-Waitemata Harbour.,Area Unit,,,1
Tidal-Tamaki.,Area Unit,,,4
Tidal-Manukau Harbour North.,Area Unit,,,1
Tidal-Eastern Bays.,Area Unit,,,2
Three Mile Bush.,Area Unit,-35.694221129,174.292897509,13
Three Kings.,Area Unit,-36.901591685,174.748491809,428
Thorndon-Tinakori Road.,Area Unit,-41.269481763,174.781776468,349
The Wood.,Area Unit,-41.268267883,173.291733581,123
The Brook.,Area Unit,-41.295962028,173.288844613,35
Teviot.,Area Unit,-45.581018530,169.439358151,19
Terrace End.,Area Unit,-40.350599692,175.641034470,190
Temuka.,Area Unit,-44.245027680,171.288151922,77
Templeton.,Area Unit,-43.553074679,172.472326075,44
Temple View.,Area Unit,-37.816424849,175.227302929,19
Te Wharau.,Area Unit,-41.167453028,175.758848517,40
Te Waewae.,Area Unit,-46.026713762,167.661013286,45
